tabelcode;datapunt;rij;kolom
S.01.01.05.01;R0010C0010;R0010;C0010
S.01.01.05.01;R0030C0010;R0030;C0010
S.01.01.05.01;R0110C0010;R0110;C0010
S.01.01.05.01;R0140C0010;R0140;C0010
S.01.01.05.01;R0150C0010;R0150;C0010
S.01.01.05.01;R0170C0010;R0170;C0010
S.01.01.05.01;R0180C0010;R0180;C0010
S.01.01.05.01;R0410C0010;R0410;C0010
S.01.02.04.01;R0010C0010;R0010;C0010
S.01.02.04.01;R0020C0010;R0020;C0010
S.01.02.04.01;R0050C0010;R0050;C0010
S.01.02.04.01;R0060C0010;R0060;C0010
S.01.02.04.01;R0070C0010;R0070;C0010
S.01.02.04.01;R0080C0010;R0080;C0010
S.01.02.04.01;R0081C0010;R0081;C0010
S.01.02.04.01;R0090C0010;R0090;C0010
S.01.02.04.01;R0100C0010;R0100;C0010
S.01.02.04.01;R0110C0010;R0110;C0010
S.01.02.04.01;R0120C0010;R0120;C0010
S.01.02.04.01;R0130C0010;R0130;C0010
S.01.02.04.01;R0140C0010;R0140;C0010
S.01.02.04.01;R0150C0010;R0150;C0010
S.01.02.04.01;R0160C0010;R0160;C0010
S.01.02.04.01;R0170C0010;R0170;C0010
S.01.02.04.01;R0180C0010;R0180;C0010
S.01.02.04.01;R0190C0010;R0190;C0010
S.01.02.04.01;R0200C0010;R0200;C0010
S.01.02.04.01;R0210C0010;R0210;C0010
S.01.02.04.01;R0250C0010;R0250;C0010
S.01.02.04.01;R0255C0010;R0255;C0010
S.01.02.04.01;R0260C0010;R0260;C0010
S.01.02.04.01;R0990C0010;R0990;C0010
S.01.02.04.01;R0991C0010;R0991;C0010
S.01.02.04.01;R0992C0010;R0992;C0010
S.02.01.02.01;R0030C0010;R0030;C0010
S.02.01.02.01;R0040C0010;R0040;C0010
S.02.01.02.01;R0050C0010;R0050;C0010
S.02.01.02.01;R0060C0010;R0060;C0010
S.02.01.02.01;R0070C0010;R0070;C0010
S.02.01.02.01;R0080C0010;R0080;C0010
S.02.01.02.01;R0090C0010;R0090;C0010
S.02.01.02.01;R0100C0010;R0100;C0010
S.02.01.02.01;R0110C0010;R0110;C0010
S.02.01.02.01;R0120C0010;R0120;C0010
S.02.01.02.01;R0130C0010;R0130;C0010
S.02.01.02.01;R0140C0010;R0140;C0010
S.02.01.02.01;R0150C0010;R0150;C0010
S.02.01.02.01;R0160C0010;R0160;C0010
S.02.01.02.01;R0170C0010;R0170;C0010
S.02.01.02.01;R0180C0010;R0180;C0010
S.02.01.02.01;R0190C0010;R0190;C0010
S.02.01.02.01;R0200C0010;R0200;C0010
S.02.01.02.01;R0210C0010;R0210;C0010
S.02.01.02.01;R0220C0010;R0220;C0010
S.02.01.02.01;R0230C0010;R0230;C0010
S.02.01.02.01;R0240C0010;R0240;C0010
S.02.01.02.01;R0250C0010;R0250;C0010
S.02.01.02.01;R0260C0010;R0260;C0010
S.02.01.02.01;R0270C0010;R0270;C0010
S.02.01.02.01;R0280C0010;R0280;C0010
S.02.01.02.01;R0290C0010;R0290;C0010
S.02.01.02.01;R0300C0010;R0300;C0010
S.02.01.02.01;R0310C0010;R0310;C0010
S.02.01.02.01;R0320C0010;R0320;C0010
S.02.01.02.01;R0330C0010;R0330;C0010
S.02.01.02.01;R0340C0010;R0340;C0010
S.02.01.02.01;R0350C0010;R0350;C0010
S.02.01.02.01;R0360C0010;R0360;C0010
S.02.01.02.01;R0370C0010;R0370;C0010
S.02.01.02.01;R0380C0010;R0380;C0010
S.02.01.02.01;R0390C0010;R0390;C0010
S.02.01.02.01;R0400C0010;R0400;C0010
S.02.01.02.01;R0410C0010;R0410;C0010
S.02.01.02.01;R0420C0010;R0420;C0010
S.02.01.02.01;R0500C0010;R0500;C0010
S.02.01.02.01;R0510C0010;R0510;C0010
S.02.01.02.01;R0520C0010;R0520;C0010
S.02.01.02.01;R0530C0010;R0530;C0010
S.02.01.02.01;R0540C0010;R0540;C0010
S.02.01.02.01;R0550C0010;R0550;C0010
S.02.01.02.01;R0560C0010;R0560;C0010
S.02.01.02.01;R0570C0010;R0570;C0010
S.02.01.02.01;R0580C0010;R0580;C0010
S.02.01.02.01;R0590C0010;R0590;C0010
S.02.01.02.01;R0600C0010;R0600;C0010
S.02.01.02.01;R0610C0010;R0610;C0010
S.02.01.02.01;R0620C0010;R0620;C0010
S.02.01.02.01;R0630C0010;R0630;C0010
S.02.01.02.01;R0640C0010;R0640;C0010
S.02.01.02.01;R0650C0010;R0650;C0010
S.02.01.02.01;R0660C0010;R0660;C0010
S.02.01.02.01;R0670C0010;R0670;C0010
S.02.01.02.01;R0680C0010;R0680;C0010
S.02.01.02.01;R0690C0010;R0690;C0010
S.02.01.02.01;R0700C0010;R0700;C0010
S.02.01.02.01;R0710C0010;R0710;C0010
S.02.01.02.01;R0720C0010;R0720;C0010
S.02.01.02.01;R0740C0010;R0740;C0010
S.02.01.02.01;R0750C0010;R0750;C0010
S.02.01.02.01;R0760C0010;R0760;C0010
S.02.01.02.01;R0770C0010;R0770;C0010
S.02.01.02.01;R0780C0010;R0780;C0010
S.02.01.02.01;R0790C0010;R0790;C0010
S.02.01.02.01;R0800C0010;R0800;C0010
S.02.01.02.01;R0810C0010;R0810;C0010
S.02.01.02.01;R0820C0010;R0820;C0010
S.02.01.02.01;R0830C0010;R0830;C0010
S.02.01.02.01;R0840C0010;R0840;C0010
S.02.01.02.01;R0850C0010;R0850;C0010
S.02.01.02.01;R0860C0010;R0860;C0010
S.02.01.02.01;R0870C0010;R0870;C0010
S.02.01.02.01;R0880C0010;R0880;C0010
S.02.01.02.01;R0900C0010;R0900;C0010
S.02.01.02.01;R1000C0010;R1000;C0010
S.05.01.02.01;R0110C0010;R0110;C0010
S.05.01.02.01;R0110C0020;R0110;C0020
S.05.01.02.01;R0110C0030;R0110;C0030
S.05.01.02.01;R0110C0040;R0110;C0040
S.05.01.02.01;R0110C0050;R0110;C0050
S.05.01.02.01;R0110C0060;R0110;C0060
S.05.01.02.01;R0110C0070;R0110;C0070
S.05.01.02.01;R0110C0080;R0110;C0080
S.05.01.02.01;R0110C0090;R0110;C0090
S.05.01.02.01;R0110C0100;R0110;C0100
S.05.01.02.01;R0110C0110;R0110;C0110
S.05.01.02.01;R0110C0120;R0110;C0120
S.05.01.02.01;R0110C0200;R0110;C0200
S.05.01.02.01;R0120C0010;R0120;C0010
S.05.01.02.01;R0120C0020;R0120;C0020
S.05.01.02.01;R0120C0030;R0120;C0030
S.05.01.02.01;R0120C0040;R0120;C0040
S.05.01.02.01;R0120C0050;R0120;C0050
S.05.01.02.01;R0120C0060;R0120;C0060
S.05.01.02.01;R0120C0070;R0120;C0070
S.05.01.02.01;R0120C0080;R0120;C0080
S.05.01.02.01;R0120C0090;R0120;C0090
S.05.01.02.01;R0120C0100;R0120;C0100
S.05.01.02.01;R0120C0110;R0120;C0110
S.05.01.02.01;R0120C0120;R0120;C0120
S.05.01.02.01;R0120C0200;R0120;C0200
S.05.01.02.01;R0130C0130;R0130;C0130
S.05.01.02.01;R0130C0140;R0130;C0140
S.05.01.02.01;R0130C0150;R0130;C0150
S.05.01.02.01;R0130C0160;R0130;C0160
S.05.01.02.01;R0130C0200;R0130;C0200
S.05.01.02.01;R0140C0010;R0140;C0010
S.05.01.02.01;R0140C0020;R0140;C0020
S.05.01.02.01;R0140C0030;R0140;C0030
S.05.01.02.01;R0140C0040;R0140;C0040
S.05.01.02.01;R0140C0050;R0140;C0050
S.05.01.02.01;R0140C0060;R0140;C0060
S.05.01.02.01;R0140C0070;R0140;C0070
S.05.01.02.01;R0140C0080;R0140;C0080
S.05.01.02.01;R0140C0090;R0140;C0090
S.05.01.02.01;R0140C0100;R0140;C0100
S.05.01.02.01;R0140C0110;R0140;C0110
S.05.01.02.01;R0140C0120;R0140;C0120
S.05.01.02.01;R0140C0130;R0140;C0130
S.05.01.02.01;R0140C0140;R0140;C0140
S.05.01.02.01;R0140C0150;R0140;C0150
S.05.01.02.01;R0140C0160;R0140;C0160
S.05.01.02.01;R0140C0200;R0140;C0200
S.05.01.02.01;R0200C0010;R0200;C0010
S.05.01.02.01;R0200C0020;R0200;C0020
S.05.01.02.01;R0200C0030;R0200;C0030
S.05.01.02.01;R0200C0040;R0200;C0040
S.05.01.02.01;R0200C0050;R0200;C0050
S.05.01.02.01;R0200C0060;R0200;C0060
S.05.01.02.01;R0200C0070;R0200;C0070
S.05.01.02.01;R0200C0080;R0200;C0080
S.05.01.02.01;R0200C0090;R0200;C0090
S.05.01.02.01;R0200C0100;R0200;C0100
S.05.01.02.01;R0200C0110;R0200;C0110
S.05.01.02.01;R0200C0120;R0200;C0120
S.05.01.02.01;R0200C0130;R0200;C0130
S.05.01.02.01;R0200C0140;R0200;C0140
S.05.01.02.01;R0200C0150;R0200;C0150
S.05.01.02.01;R0200C0160;R0200;C0160
S.05.01.02.01;R0200C0200;R0200;C0200
S.05.01.02.01;R0210C0010;R0210;C0010
S.05.01.02.01;R0210C0020;R0210;C0020
S.05.01.02.01;R0210C0030;R0210;C0030
S.05.01.02.01;R0210C0040;R0210;C0040
S.05.01.02.01;R0210C0050;R0210;C0050
S.05.01.02.01;R0210C0060;R0210;C0060
S.05.01.02.01;R0210C0070;R0210;C0070
S.05.01.02.01;R0210C0080;R0210;C0080
S.05.01.02.01;R0210C0090;R0210;C0090
S.05.01.02.01;R0210C0100;R0210;C0100
S.05.01.02.01;R0210C0110;R0210;C0110
S.05.01.02.01;R0210C0120;R0210;C0120
S.05.01.02.01;R0210C0200;R0210;C0200
S.05.01.02.01;R0220C0010;R0220;C0010
S.05.01.02.01;R0220C0020;R0220;C0020
S.05.01.02.01;R0220C0030;R0220;C0030
S.05.01.02.01;R0220C0040;R0220;C0040
S.05.01.02.01;R0220C0050;R0220;C0050
S.05.01.02.01;R0220C0060;R0220;C0060
S.05.01.02.01;R0220C0070;R0220;C0070
S.05.01.02.01;R0220C0080;R0220;C0080
S.05.01.02.01;R0220C0090;R0220;C0090
S.05.01.02.01;R0220C0100;R0220;C0100
S.05.01.02.01;R0220C0110;R0220;C0110
S.05.01.02.01;R0220C0120;R0220;C0120
S.05.01.02.01;R0220C0200;R0220;C0200
S.05.01.02.01;R0230C0130;R0230;C0130
S.05.01.02.01;R0230C0140;R0230;C0140
S.05.01.02.01;R0230C0150;R0230;C0150
S.05.01.02.01;R0230C0160;R0230;C0160
S.05.01.02.01;R0230C0200;R0230;C0200
S.05.01.02.01;R0240C0010;R0240;C0010
S.05.01.02.01;R0240C0020;R0240;C0020
S.05.01.02.01;R0240C0030;R0240;C0030
S.05.01.02.01;R0240C0040;R0240;C0040
S.05.01.02.01;R0240C0050;R0240;C0050
S.05.01.02.01;R0240C0060;R0240;C0060
S.05.01.02.01;R0240C0070;R0240;C0070
S.05.01.02.01;R0240C0080;R0240;C0080
S.05.01.02.01;R0240C0090;R0240;C0090
S.05.01.02.01;R0240C0100;R0240;C0100
S.05.01.02.01;R0240C0110;R0240;C0110
S.05.01.02.01;R0240C0120;R0240;C0120
S.05.01.02.01;R0240C0130;R0240;C0130
S.05.01.02.01;R0240C0140;R0240;C0140
S.05.01.02.01;R0240C0150;R0240;C0150
S.05.01.02.01;R0240C0160;R0240;C0160
S.05.01.02.01;R0240C0200;R0240;C0200
S.05.01.02.01;R0300C0010;R0300;C0010
S.05.01.02.01;R0300C0020;R0300;C0020
S.05.01.02.01;R0300C0030;R0300;C0030
S.05.01.02.01;R0300C0040;R0300;C0040
S.05.01.02.01;R0300C0050;R0300;C0050
S.05.01.02.01;R0300C0060;R0300;C0060
S.05.01.02.01;R0300C0070;R0300;C0070
S.05.01.02.01;R0300C0080;R0300;C0080
S.05.01.02.01;R0300C0090;R0300;C0090
S.05.01.02.01;R0300C0100;R0300;C0100
S.05.01.02.01;R0300C0110;R0300;C0110
S.05.01.02.01;R0300C0120;R0300;C0120
S.05.01.02.01;R0300C0130;R0300;C0130
S.05.01.02.01;R0300C0140;R0300;C0140
S.05.01.02.01;R0300C0150;R0300;C0150
S.05.01.02.01;R0300C0160;R0300;C0160
S.05.01.02.01;R0300C0200;R0300;C0200
S.05.01.02.01;R0310C0010;R0310;C0010
S.05.01.02.01;R0310C0020;R0310;C0020
S.05.01.02.01;R0310C0030;R0310;C0030
S.05.01.02.01;R0310C0040;R0310;C0040
S.05.01.02.01;R0310C0050;R0310;C0050
S.05.01.02.01;R0310C0060;R0310;C0060
S.05.01.02.01;R0310C0070;R0310;C0070
S.05.01.02.01;R0310C0080;R0310;C0080
S.05.01.02.01;R0310C0090;R0310;C0090
S.05.01.02.01;R0310C0100;R0310;C0100
S.05.01.02.01;R0310C0110;R0310;C0110
S.05.01.02.01;R0310C0120;R0310;C0120
S.05.01.02.01;R0310C0200;R0310;C0200
S.05.01.02.01;R0320C0010;R0320;C0010
S.05.01.02.01;R0320C0020;R0320;C0020
S.05.01.02.01;R0320C0030;R0320;C0030
S.05.01.02.01;R0320C0040;R0320;C0040
S.05.01.02.01;R0320C0050;R0320;C0050
S.05.01.02.01;R0320C0060;R0320;C0060
S.05.01.02.01;R0320C0070;R0320;C0070
S.05.01.02.01;R0320C0080;R0320;C0080
S.05.01.02.01;R0320C0090;R0320;C0090
S.05.01.02.01;R0320C0100;R0320;C0100
S.05.01.02.01;R0320C0110;R0320;C0110
S.05.01.02.01;R0320C0120;R0320;C0120
S.05.01.02.01;R0320C0200;R0320;C0200
S.05.01.02.01;R0330C0130;R0330;C0130
S.05.01.02.01;R0330C0140;R0330;C0140
S.05.01.02.01;R0330C0150;R0330;C0150
S.05.01.02.01;R0330C0160;R0330;C0160
S.05.01.02.01;R0330C0200;R0330;C0200
S.05.01.02.01;R0340C0010;R0340;C0010
S.05.01.02.01;R0340C0020;R0340;C0020
S.05.01.02.01;R0340C0030;R0340;C0030
S.05.01.02.01;R0340C0040;R0340;C0040
S.05.01.02.01;R0340C0050;R0340;C0050
S.05.01.02.01;R0340C0060;R0340;C0060
S.05.01.02.01;R0340C0070;R0340;C0070
S.05.01.02.01;R0340C0080;R0340;C0080
S.05.01.02.01;R0340C0090;R0340;C0090
S.05.01.02.01;R0340C0100;R0340;C0100
S.05.01.02.01;R0340C0110;R0340;C0110
S.05.01.02.01;R0340C0120;R0340;C0120
S.05.01.02.01;R0340C0130;R0340;C0130
S.05.01.02.01;R0340C0140;R0340;C0140
S.05.01.02.01;R0340C0150;R0340;C0150
S.05.01.02.01;R0340C0160;R0340;C0160
S.05.01.02.01;R0340C0200;R0340;C0200
S.05.01.02.01;R0400C0010;R0400;C0010
S.05.01.02.01;R0400C0020;R0400;C0020
S.05.01.02.01;R0400C0030;R0400;C0030
S.05.01.02.01;R0400C0040;R0400;C0040
S.05.01.02.01;R0400C0050;R0400;C0050
S.05.01.02.01;R0400C0060;R0400;C0060
S.05.01.02.01;R0400C0070;R0400;C0070
S.05.01.02.01;R0400C0080;R0400;C0080
S.05.01.02.01;R0400C0090;R0400;C0090
S.05.01.02.01;R0400C0100;R0400;C0100
S.05.01.02.01;R0400C0110;R0400;C0110
S.05.01.02.01;R0400C0120;R0400;C0120
S.05.01.02.01;R0400C0130;R0400;C0130
S.05.01.02.01;R0400C0140;R0400;C0140
S.05.01.02.01;R0400C0150;R0400;C0150
S.05.01.02.01;R0400C0160;R0400;C0160
S.05.01.02.01;R0400C0200;R0400;C0200
S.05.01.02.01;R0410C0010;R0410;C0010
S.05.01.02.01;R0410C0020;R0410;C0020
S.05.01.02.01;R0410C0030;R0410;C0030
S.05.01.02.01;R0410C0040;R0410;C0040
S.05.01.02.01;R0410C0050;R0410;C0050
S.05.01.02.01;R0410C0060;R0410;C0060
S.05.01.02.01;R0410C0070;R0410;C0070
S.05.01.02.01;R0410C0080;R0410;C0080
S.05.01.02.01;R0410C0090;R0410;C0090
S.05.01.02.01;R0410C0100;R0410;C0100
S.05.01.02.01;R0410C0110;R0410;C0110
S.05.01.02.01;R0410C0120;R0410;C0120
S.05.01.02.01;R0410C0200;R0410;C0200
S.05.01.02.01;R0420C0010;R0420;C0010
S.05.01.02.01;R0420C0020;R0420;C0020
S.05.01.02.01;R0420C0030;R0420;C0030
S.05.01.02.01;R0420C0040;R0420;C0040
S.05.01.02.01;R0420C0050;R0420;C0050
S.05.01.02.01;R0420C0060;R0420;C0060
S.05.01.02.01;R0420C0070;R0420;C0070
S.05.01.02.01;R0420C0080;R0420;C0080
S.05.01.02.01;R0420C0090;R0420;C0090
S.05.01.02.01;R0420C0100;R0420;C0100
S.05.01.02.01;R0420C0110;R0420;C0110
S.05.01.02.01;R0420C0120;R0420;C0120
S.05.01.02.01;R0420C0200;R0420;C0200
S.05.01.02.01;R0430C0130;R0430;C0130
S.05.01.02.01;R0430C0140;R0430;C0140
S.05.01.02.01;R0430C0150;R0430;C0150
S.05.01.02.01;R0430C0160;R0430;C0160
S.05.01.02.01;R0430C0200;R0430;C0200
S.05.01.02.01;R0440C0010;R0440;C0010
S.05.01.02.01;R0440C0020;R0440;C0020
S.05.01.02.01;R0440C0030;R0440;C0030
S.05.01.02.01;R0440C0040;R0440;C0040
S.05.01.02.01;R0440C0050;R0440;C0050
S.05.01.02.01;R0440C0060;R0440;C0060
S.05.01.02.01;R0440C0070;R0440;C0070
S.05.01.02.01;R0440C0080;R0440;C0080
S.05.01.02.01;R0440C0090;R0440;C0090
S.05.01.02.01;R0440C0100;R0440;C0100
S.05.01.02.01;R0440C0110;R0440;C0110
S.05.01.02.01;R0440C0120;R0440;C0120
S.05.01.02.01;R0440C0130;R0440;C0130
S.05.01.02.01;R0440C0140;R0440;C0140
S.05.01.02.01;R0440C0150;R0440;C0150
S.05.01.02.01;R0440C0160;R0440;C0160
S.05.01.02.01;R0440C0200;R0440;C0200
S.05.01.02.01;R0500C0010;R0500;C0010
S.05.01.02.01;R0500C0020;R0500;C0020
S.05.01.02.01;R0500C0030;R0500;C0030
S.05.01.02.01;R0500C0040;R0500;C0040
S.05.01.02.01;R0500C0050;R0500;C0050
S.05.01.02.01;R0500C0060;R0500;C0060
S.05.01.02.01;R0500C0070;R0500;C0070
S.05.01.02.01;R0500C0080;R0500;C0080
S.05.01.02.01;R0500C0090;R0500;C0090
S.05.01.02.01;R0500C0100;R0500;C0100
S.05.01.02.01;R0500C0110;R0500;C0110
S.05.01.02.01;R0500C0120;R0500;C0120
S.05.01.02.01;R0500C0130;R0500;C0130
S.05.01.02.01;R0500C0140;R0500;C0140
S.05.01.02.01;R0500C0150;R0500;C0150
S.05.01.02.01;R0500C0160;R0500;C0160
S.05.01.02.01;R0500C0200;R0500;C0200
S.05.01.02.01;R0550C0010;R0550;C0010
S.05.01.02.01;R0550C0020;R0550;C0020
S.05.01.02.01;R0550C0030;R0550;C0030
S.05.01.02.01;R0550C0040;R0550;C0040
S.05.01.02.01;R0550C0050;R0550;C0050
S.05.01.02.01;R0550C0060;R0550;C0060
S.05.01.02.01;R0550C0070;R0550;C0070
S.05.01.02.01;R0550C0080;R0550;C0080
S.05.01.02.01;R0550C0090;R0550;C0090
S.05.01.02.01;R0550C0100;R0550;C0100
S.05.01.02.01;R0550C0110;R0550;C0110
S.05.01.02.01;R0550C0120;R0550;C0120
S.05.01.02.01;R0550C0130;R0550;C0130
S.05.01.02.01;R0550C0140;R0550;C0140
S.05.01.02.01;R0550C0150;R0550;C0150
S.05.01.02.01;R0550C0160;R0550;C0160
S.05.01.02.01;R0550C0200;R0550;C0200
S.05.01.02.01;R1200C0200;R1200;C0200
S.05.01.02.01;R1300C0200;R1300;C0200
S.05.01.02.02;R1410C0210;R1410;C0210
S.05.01.02.02;R1410C0220;R1410;C0220
S.05.01.02.02;R1410C0230;R1410;C0230
S.05.01.02.02;R1410C0240;R1410;C0240
S.05.01.02.02;R1410C0250;R1410;C0250
S.05.01.02.02;R1410C0260;R1410;C0260
S.05.01.02.02;R1410C0270;R1410;C0270
S.05.01.02.02;R1410C0280;R1410;C0280
